"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_LBL_SAVE","Save","Save","Uložit","Speichern","Сохранить","Zapisz","Mentés","Salva","Guardar","Enregistrer","儲存","保存","Salvar","保存",
"VSTR_LBL_SELECT","Select","Select","Vybrat","Auswählen","Выбрать","Wybierz","Kiválasztás","Seleziona","Seleccionar","Sélectionner","選取","選択","Selecionar","选择",
"VSTR_LBL_TYPE","Type:","Type:","Typ:","Typ:","Тип:","Typ:","Típus:","Tipo:","Tipo:","Type:","類型:","タイプ:","Tipo:","类型:",
"VSTR_LBL_YAW","Yaw:","Yaw:","Yaw:","Yaw:","Yaw:","Yaw:","Yaw:","Yaw:","Yaw:","Yaw:","偏航:","Yaw:","Yaw:","偏航:",
"VSTR_LBL_PITCH","Pitch:","Pitch:","Pitch:","Pitch:","Pitch:","Pitch:","Pitch:","Pitch:","Pitch:","Pitch:","俯仰:","Pitch:","Pitch:","俯仰:",
"VSTR_LBL_ROLL","Roll:","Roll:","Roll:","Roll:","Roll:","Roll:","Roll:","Roll:","Roll:","Roll:","翻滾:","Roll:","Roll:","翻滚",
"VSTR_LBL_BUILDING_SET_ATTS","BUILDING SET ATTRIBUTES","BUILDING SET ATTRIBUTES","ATRIBUTY STAVEBNÍ SADY","BAU-SET-ATTRIBUTE","АТРИБУТЫ СТРОИТЕЛЬНОЙ СЕРИИ","ATRYBUTY ZESTAWU BUDYNKÓW","ÉPÍTÉSI KÉSZLET ATTRIBÚTUMAI","ATTRIBUTI SET DI COSTRUZIONE","ATRIBUTOS DEL SET DE CONSTRUCCIÓN","ATTRIBUTS DU SET CONSTRUCTION","建築集合屬性","建築セット属性","ATRIBUTOS DO SET DE CONSTRUÇÃO","建造集合属性",
"VSTR_LBL_BUILDING_SET_NAME","Building Set Name","Building Set Name","Název stavební sady","Name des Bausets","Название строительной серии","Nazwa zestawu budynków","Építési készlet neve","Nome set di costruzione","Nombre del set de construcción","Nom du set de construction","建築集合名稱","建築セット名","Nome do set de construção","建筑集合名称",
"VSTR_LBL_BLD_SET_ACTIVE","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Nastavit jako aktivní (automaticky spawnovat sadu při startu serveru)","Aktivieren (spawnt das Set automatisch beim Serverstart)","Сделать активной (автоспавн серии при старте сервера)","Ustaw jako aktywny (automatycznie spawnuje zestaw przy starcie serwera)","Aktiválása (automatikusan spawnol induláskor)","Imposta attivo (autospawna il set all'avvio del server)","Establecer como activo (autospawnea el set al iniciar el servidor)","Définir comme actif (Chargement au démarrage)","設為啟用（伺服器啟動時自動生成集合）","アクティブにする（サーバー起動時に自動スポーン）","Definir como ativo (autospawna o set ao iniciar o servidor)","设置激活（服务器启动时自动生成该套装）",
"VSTR_LBL_EXPORT_RAW","Export Raw","Export Raw","Exportovat Raw","Roh exportieren","Экспорт Raw","Eksportuj Raw","Nyers export","Esporta Raw","Exportar Raw","Exporter Raw en texte","导出原始文本","Raw をエクスポート","Exportar Raw",导出原始文本",
"VSTR_LBL_OK","OK","OK","OK","OK","ОК","OK","OK","OK","OK","OK","確定","OK","OK","确定",
"VSTR_BUILDING_ATTS","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","ATRIBUTY STAVBY","BAU-ATTRIBUTE","АТРИБУТЫ ПОСТРОЙКИ","ATRYBUTY BUDYNKU","ÉPÍTÉS ATTRIBÚTUMAI","ATTRIBUTI COSTRUZIONE","ATRIBUTOS DE LA CONSTRUCCIÓN","ATTRIBUTS DE LA CONSTRUCTION","建築屬性","建築属性","ATRIBUTOS DA CONSTRUÇÃO","该建筑的属性",
"VSTR_LBL_BLD_SET_ACTIVE_S","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Nastavit jako aktivní (spawnovat, když je sada aktivní)","Aktivieren (spawnen, wenn das Set aktiv ist)","Сделать активным (спавнить, когда серия активна)","Ustaw jako aktywny (spawnuj, gdy zestaw jest aktywny)","Aktiválása (spawnol, ha a készlet aktív)","Imposta attivo (spawna quando il set è attivo)","Establecer como activo (spawnear cuando el set esté activo)","Définir comme actif (spawner lorsque le set est actif)","設為啟用（當集合啟用時生成）","アクティブにする（セットがアクティブのときにスポーン）","Definir como ativo (spawnar quando o set estiver ativo)","设置为启用（当集合启用时生效）",
"VSTR_BUILDING_MANAGER_TITLE","OBJECT MANAGER","OBJECT MANAGER","SPRÁVCE OBJEKTŮ","OBJEKT-MANAGER","МЕНЕДЖЕР ОБЪЕКТОВ","MENEDŻER OBIEKTÓW","OBJEKTUMKEZELŐ","GESTORE OGGETTI","GESTOR DE OBJETOS","GESTIONNAIRE D'OBJETS","物件管理器","オブジェクトマネージャー","GERENCIADOR DE OBJETOS","对象管理器",
"VSTR_LBL_NEW_OBJ_ATT","New Object Attributes","New Object Attributes","Atributy nového objektu","Attribute neues Objekt","Атрибуты нового объекта","Atrybuty nowego obiektu","Új objektum attribútumai","Nuovi attributi oggetto","Nuevos atributos de objeto","Nouveaux attributs d'objet","新物件屬性","新規オブジェクトの属性","Novos atributos de objeto","新增对象属性",
"VSTR_LBL_SEARCH_KEYWORD","Search Keyword","Search Keyword","Hledat klíčové slovo","Suchbegriff","Ключевое слово поиска","Słowo kluczowe wyszukiwania","Keresési kulcsszó","Parola chiave di ricerca","Palabra clave de búsqueda","Mot-clé de recherche","搜尋關鍵字","検索キーワード","Palavra‑chave de pesquisa","搜索关键词",
"VSTR_LBL_HELP","Help","Help","Nápověda","Hilfe","Справка","Pomoc","Súgó","Aiuto","Ayuda","Aide","說明","ヘルプ","Ajuda","帮助",
"VSTR_LBL_OPTIONS","Options","Options","Možnosti","Optionen","Параметры","Opcje","Beállítások","Opzioni","Opciones","Options","選項","オプション","Opções","选项",
"VSTR_LBL_FREE_CAM","Free Camera","Free Camera","Volná kamera","Freie Kamera","Свободная камера","Wolna kamera","Szabad kamera","Telecamera libera","Cámara libre","Caméra libre","自由視角","フリーカメラ","Câmera livre","免费相机",
"VSTR_LBL_TOP_DOWN_VIEW","Top Down View","Top Down View","Pohled shora","Draufsicht","Вид сверху","Widok z góry","Felülnézet","Vista dall'alto","Vista superior","Vue de dessus","俯視","トップビュー","Visão superior","俯视图",
"VSTR_LBL_FOV","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","視野",
"VSTR_LBL_SNAP_ON_MOVE","Snap To Terrain","Snap To Terrain","Přichytit k terénu","Am Terrain ausrichten","Привязка к рельефу","Przyciągaj do terenu","Illesztés a terephez","Aggancia al terreno","Ajustar al terreno","Attacher au terrain","吸附至地形","地形にスナップ","Ajustar ao terreno","吸附到地形",
"VSTR_ENABLE_OBJ_SNAP","Snap-On-Surfaces","Snap-On-Surfaces","Přichytit na povrchy","An Oberflächen ausrichten","Привязка к поверхностям","Przyciągaj do powierzchni","Illesztés a felületekhez","Aggancia alle superfici","Ajustar a superficies","Attacher aux surfaces","吸附至表面","表面にスナップ","Ajustar às superfícies","吸附到表面",
"VSTR_LBL_BUILDING_SETS","Building Sets","Building Sets","Stavební sady","Bausets","Строительные серии","Zestawy budynków","Építési készletek","Set di costruzione","Sets de construcción","Sets de construction","建築集合","建築セット","Sets de construção","建筑集合",
"VSTR_LBL_CREATE_NEW_BUILD_SET","Create New Building Set","Create New Building Set","Vytvořit novou stavební sadu","Neues Bauset erstellen","Создать новую строительную серию","Utwórz nowy zestaw budynków","Új építési készlet létrehozása","Crea nuovo set di costruzione","Crear nuevo set de construcción","Créer un nouveau set de construction","建立新建築集合","新しい建築セットを作成","Criar novo set de construção","创建建筑集合",
"VSTR_LBL_SAVE_EDITS","Save Edits","Save Edits","Uložit úpravy","Bearbeitungen speichern","Сохранить правки","Zapisz edycje","Szerkesztések mentése","Salva modifiche","Guardar ediciones","Enregistrer les modifications","儲存編輯","編集を保存","Salvar edições","保存编辑",
"VSTR_PERMISSIONS_MANAGER_TITLE","PERMISSIONS EDITOR","PERMISSIONS EDITOR","EDITOR OPRÁVNĚNÍ","BERECHTIGUNGS-EDITOR","РЕДАКТОР ПРАВ","EDYTOR UPRAWNIEŃ","JOGOSULTSÁG SZERKESZTŐ","EDITOR PERMESSI","EDITOR DE PERMISOS","ÉDITEUR D'AUTORISATIONS","權限編輯器","権限エディタ","EDITOR DE PERMISSÕES","全新编辑器",
"VSTR_LBL_AVA_PERMS","Available Permissions","Available Permissions","Dostupná oprávnění","Verfügbare Berechtigungen","Доступные разрешения","Dostępne uprawnienia","Elérhető jogosultságok","Permessi disponibili","Permisos disponibles","Autorisations disponibles","可用權限","利用可能な権限","Permissões disponíveis","可用权限",
"VSTR_LBL_USER_GROUPS","User Groups","User Groups","Uživatelské skupiny","Benutzergruppen","Группы пользователей","Grupy użytkowników","Felhasználói csoportok","Gruppi utenti","Grupos de usuarios","Groupes d'utilisateurs","使用者群組","ユーザーグループ","Grupos de usuários","用户组",
"VSTR_LBL_ADD_MEMEBER","Add Member(s)","Add Member(s)","Přidat člena(členy)","Mitglied/er hinzufügen","Добавить участника(ов)","Dodaj członka(ów)","Tag(ok) hozzáadása","Aggiungi membro/i","Añadir miembro(s)","Ajouter membre(s)","新增成員","メンバーを追加","Adicionar membro(s)","添加玩家",
"VSTR_LBL_UPDATE_PERMISSIONS","Update Permissions","Update Permissions","Aktualizovat oprávnění","Berechtigungen aktualisieren","Обновить разрешения","Aktualizuj uprawnienia","Jogosultságok frissítése","Aggiorna permessi","Actualizar permisos","Mettre à jour les autorisations","更新權限","権限を更新","Atualizar permissões","更新权限",
"VSTR_LBL_CREATE_GROUP","Create Group","Create Group","Vytvořit skupinu","Gruppe erstellen","Создать группу","Utwórz grupę","Csoport létrehozása","Crea gruppo","Crear grupo","Créer un Grp","建立群組","グループを作成","Criar grupo","创建组",
"VSTR_LBL_DELETE_GROUP","Delete Group","Delete Group","Smazat skupinu","Gruppe löschen","Удалить группу","Usuń grupę","Csoport törlése","Elimina gruppo","Eliminar grupo","Supprimer Grp","刪除群組","グループを削除","Excluir grupo","删除组",
"VSTR_LBL_UPDATE_GROUP_ATTS","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","ATRIBUTY UŽIVATELSKÉ SKUPINY","ATTRIBUTE DER BENUTZERGRUPPE","АТРИБУТЫ ГРУППЫ ПОЛЬЗОВАТЕЛЕЙ","ATRYBUTY GRUPY UŻYTKOWNIKÓW","FELHASZNÁLÓI CSOPORT ATTRIBÚTUMAI","ATTRIBUTI GRUPPO UTENTI","ATRIBUTOS DEL GRUPO DE USUARIOS","ATTRIBUTS DU GROUPE D'UTILISATEURS","使用者群組屬性","ユーザーグループ属性","ATRIBUTOS DO GRUPO DE USUÁRIOS","用户组属性",
"VSTR_LBL_GROUP_NAME_FORCE","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Uživatelé ve skupině nebudou moci používat nástroje, pokud jejich herní jméno neodpovídá jménu uloženému ve skupině","[Force Name]: Benutzer in der Gruppe können die Tools nicht verwenden, wenn ihr Ingame-Name nicht mit dem in der Gruppe gespeicherten Namen übereinstimmt","[Force Name]: Пользователи в группе не смогут использовать инструменты, если их игровое имя не совпадает с именем, сохранённым в группе","[Force Name]: Użytkownicy w grupie nie będą mogli używać narzędzi, jeśli ich nick w grze nie odpowiada nazwie zapisanej w grupie","[Force Name]: A csoportba tartozó felhasználók nem használhatják az eszközöket, ha a játékbeli nevük nem egyezik a csoportban mentett névvel","[Force Name]: Gli utenti del gruppo non potranno usare gli strumenti se il loro nome in gioco non corrisponde al nome salvato nel gruppo","[Force Name]: Los usuarios del grupo no podrán usar las herramientas si su nombre en el juego no coincide con el nombre guardado en el grupo","[Force Name]: Les utilisateurs du groupe ne pourront pas utiliser les outils si leur nom en jeu ne correspond pas au nom enregistré dans le groupe",[强制名称]：如果用户组内的用户的游戏内名称与组内保存的名称不匹配，则该用户组内的用户将无法使用这些工具。","[Force Name]: グループ内ユーザーは、ゲーム内の名前がグループに保存された名前と一致しない場合ツールを使用できません","[Force Name]: Usuários no grupo não poderão usar as ferramentas se o nome no jogo não corresponder ao nome salvo no grupo","[强制名称]：如果用户组内的用户的游戏内名称与组内保存的名称不匹配，则该用户组内的用户将无法使用这些工具。",
"VSTR_LBL_GROUP_NAME","Group Name:","Group Name:","Název skupiny:","Gruppenname:","Имя группы:","Nazwa grupy:","Csoport neve:","Nome gruppo:","Nombre del grupo:","Nom du groupe:","群組名稱:","グループ名:","Nome do grupo:","群组名称:",
"VSTR_LBL_GROUP_TOTAL_MEMBERS","Total Members:","Total Members:","Celkem členů:","Mitglieder gesamt:","Всего участников:","Łącznie członków:","Összes tag:","Totale membri:","Total de miembros:","Total des membres:","成員總數:","メンバー総数:","Total de membros:","玩家总数",
"VSTR_LBL_GROUP_PERMS_LVL","Permission Level:","Permission Level:","Úroveň oprávnění:","Berechtigungsstufe:","Уровень прав:","Poziom uprawnień:","Jogosultsági szint:","Livello permessi:","Nivel de permisos:","Niveau d'autorisation:","權限等級:","権限レベル:","Nível de permissão:","权限级别",
"VSTR_ALEMOD_DAYZSERVER_TITLE","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","游戏管理工具-ALE中文汉化 [QQ：4407975-专业模组定制开发]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","Game Management Tool - ALE Chinese Localization [QQ: 4407975 - Professional Module Customization and Development]","游戏管理工具-ALE中文汉化 [QQ：4407975-专业模组定制开发]",
"VSTR_LBL_PLAYERS_LIST","Player List","Player List","Seznam hráčů","Spielerliste","Список игроков","Lista graczy","Játékoslista","Elenco giocatori","Lista de jugadores","Liste des joueurs","玩家清單","プレイヤーリスト","Lista de jogadores","玩家名单",
"VSTR_LBL_PLAYERS_DETAILS","Player Details","Player Details","Detaily hráče","Spielerdetails","Детали игрока","Szczegóły gracza","Játékos részletei","Dettagli giocatore","Detalles del jugador","Détails du joueur","玩家詳細資訊","プレイヤー詳細","Detalhes do jogador","玩家详情",
"VSTR_LBL_MODIFIERS","Modifiers","Modifiers","Modifikátory","Modifikatoren","Модификаторы","Modyfikatory","Módosítók","Modificatori","Modificadores","Modificateurs","玩家状态","モディファイア","Modificadores","玩家状态",
"VSTR_LBL_HEAL_PLAYERS","HEAL","HEAL","VYLÉČIT","HEILEN","ВЫЛЕЧИТЬ","WYLECZ","GYÓGYÍT","GUARISCI","CURAR","SOIGNER","治疗玩家","回復","CURAR","治疗玩家",
"VSTR_LBL_KILL_PLAYERS","KILL","KILL","ZABÍT","TÖTEN","УБИТЬ","ZABIJ","MEGÖL","UCCIDI","MATAR","TUER","击杀玩家","キル","MATAR","击杀玩家",
"VSTR_LBL_TP_TO_ME","BRING","BRING","PŘIVÉST","HERBRINGEN","ПРИВЕСТИ","PRZYWIEŹ","ODAHOZ","PORTA QUI","TRAER AQUÍ","AMENER ICI","召唤玩家","呼び寄せ","TRAZER AQUI","召唤玩家",
"VSTR_LBL_SEND_MESSAGE","Send Message","Send Message","Odeslat zprávu","Nachricht senden","Отправить сообщение","Wyślij wiadomość","Üzenet küldése","Invia messaggio","Enviar mensaje","Écrire message","傳送訊息","メッセージ送信","Enviar mensagem","发送消息",
"VSTR_LBL_TP_ME_TO","GOTO","GOTO","GOTO","GOTO","GOTO","GOTO","GOTO","GOTO","GOTO","ALLER À","瞬移玩家","GOTO","GOTO","瞬移玩家",
"VSTR_LBL_KICK_PLAYERS","KICK","KICK","VYHODIT","KICK","КИК","KICK","KICK","KICK","KICK","KICK","踢出玩家","KICK","KICK","踢出玩家",
"VSTR_LBL_BAN_PLAYERS","Ban Player(s)","Ban Player(s)","Zabanovat hráče","Spieler bannen","Забанить игрока","Zbanuj gracza","Játékos kitiltása","Banna giocatore","Banear jugador","Bannir le joueur","封禁玩家","プレイヤーを BAN","Banir jogador","封禁玩家",
"VSTR_LBL_SPECTATE_PLAYER","SPECTATE","SPECTATE","SPECTATE","ZUSCHAUEN","SPECTATE","SPECTATE","SPECTATE","SPECTATE","SPECTATE","Spectateur","观战玩家","SPECTATE","SPECTATE","观战玩家",
"VSTR_LBL_MAKE_VOMIT","Force Vomit","Force Vomit","Vynutit zvracení","Erbrechen erzwingen","Вынудить рвоту","Wymuś wymioty","Hányás kényszerítése","Forza vomito","Forzar vómito","FAIRE VOMIR","強制嘔吐","嘔吐を強制","Forçar vômito","强制呕吐",
"VSTR_LBL_GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","上帝模式","GODMODE","GODMODE","上帝模式",
"VSTR_LBL_UNLIM_AMMO","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Balles infinies","无限弹药","Unlimited Ammo","Unlimited Ammo","无限弹药",
"VSTR_LBL_SET_INVIS","Set Invisibility","Set Invisibility","Nastavit neviditelnost","Unsichtbarkeit setzen","Включить невидимость","Ustaw niewidzialność","Láthatatlanság beállítása","Imposta invisibilità","Establecer invisibilidad","Rendre invisible","隐身模式","不可視を設定","Definir invisibilidade","隐身模式",
"VSTR_LBL_FREEZE_PLAYER","FREEZE","FREEZE","ZMRAZIT","EINFRIEREN","ЗАМОРОЗИТЬ","ZAMROŹ","MEGFAGYASZT","CONGELA","CONGELAR","FIGER","禁止移动","凍結","CONGELAR","禁止移动",
"VSTR_LBL_USER_GROUP","User Group:","User Group:","Uživatelská skupina:","Benutzergruppe:","Группа пользователей:","Grupa użytkowników:","Felhasználói csoport:","Gruppo utenti:","Grupo de usuarios:","Groupe d'utilisateurs:","使用者群組:","ユーザーグループ:","Grupo de usuários:","用户组:",
"VSTR_LBL_COPY_INFO","Copy Information","Copy Information","Kopírovat informace","Informationen kopieren","Копировать информацию","Kopiuj informacje","Információk másolása","Copia informazioni","Copiar información","Copier les informations","複製資訊","情報をコピー","Copiar informações","复制信息",
"VSTR_SERVER_MANAGER_TITLE","SERVER MANAGER","SERVER MANAGER","SPRÁVCE SERVERU","SERVER-MANAGER","МЕНЕДЖЕР СЕРВЕРА","MENEDŻER SERWERA","SZERVERKEZELŐ","GESTORE SERVER","GESTOR DEL SERVIDOR","GESTIONNAIRE DU SERVEUR","伺服器管理器","サーバーマネージャー","GERENCIADOR DO SERVIDOR","服务器管理器",
"VSTR_LBL_ACTIVVITY_MAP","Activity Map","Activity Map","Mapa aktivity","Aktivitätskarte","Карта активности","Mapa aktywności","Aktivitás térkép","Mappa attività","Mapa de actividad","Carte d'activité","活動地圖","アクティビティマップ","Mapa de atividade","活动地图",
"VSTR_LBL_SCRIPT_LOADER","Script Loader","Script Loader","Nahrávač skriptů","Skriptlader","Загрузчик скриптов","Ładowarka skryptów","Szkriptbetöltő","Caricatore script","Cargador de scripts","Chargeur de scripts","腳本載入器","スクリプトローダー","Carregador de scripts","脚本加载器",
"VSTR_LBL_REFRESH_LIST","Refresh List","Refresh List","Obnovit seznam","Liste aktualisieren","Обновить список","Odśwież listę","Lista frissítése","Aggiorna elenco","Actualizar lista","Actualiser la liste","重新整理清單","リストを更新","Atualizar lista","刷新列表",
"VSTR_LBL_WRITE","Write","Write","Zapsat","Schreiben","Записать","Zapisz","Írás","Scrivi","Escribir","Écrire","寫入","書き込み","Gravar","写入",
"VSTR_LBL_VIEW","View","View","Zobrazit","Anzeigen","Просмотр","Podgląd","Megtekintés","Visualizza","Ver","Afficher","顯示","表示","Exibir","显示",
"VSTR_LBL_LOAD","Load","Load","Načíst","Laden","Загрузить","Wczytaj","Betöltés","Carica","Cargar","Charger","載入","読み込み","Carregar","加载",
"VSTR_LBL_RELEASE","Release","Release","Uvolnit","Freigeben","Освободить","Zwolnij","Feloldás","Rilascia","Liberar","Libérer","釋放","解放","Liberar","释放",
"VSTR_LBL_ADMIN_LOGIN","Admin Login","Admin Login","Přihlášení admina","Admin-Login","Вход администратора","Logowanie admina","Admin bejelentkezés","Login admin","Inicio de sesión admin","Connexion admin","管理員登入","管理者ログイン","Login de admin","管理员登录",
"VSTR_LBL_PASSWORD","Password:","Password:","Heslo:","Passwort:","Пароль:","Hasło:","Jelszó:","Password:","Contraseña:","Mot de passe:","密碼:","パスワード:","Senha:","密码:",
"VSTR_LBL_SERVER_MONITOR","Server Status Monitor","Server Status Monitor","Monitor stavu serveru","Serverstatus-Monitor","Монитор состояния сервера","Monitor stanu serwera","Szerver állapot monitor","Monitor stato server","Monitor de estado del servidor","Moniteur d'état du serveur","伺服器狀態監視器","サーバーステータスモニター","Monitor de status do servidor","服务器状态监视器",
"VSTR_LBL_SERVER_FPS","Server FPS:","Server FPS:","FPS serveru:","Server-FPS:","FPS сервера:","FPS serwera:","Szerver FPS:","FPS server:","FPS del servidor:","FPS du serveur:","伺服器 FPS:","サーバー FPS:","FPS do servidor:","服务器 FPS:",
"VSTR_LBL_ONLINE_PLAYERS","Online Players:","Online Players:","Online hráči:","Spieler online:","Игроков онлайн:","Graczy online:","Online játékosok:","Giocatori online:","Jugadores en línea:","Joueurs en ligne:","線上玩家:","オンラインプレイヤー:","Jogadores online:","在线玩家:",
"VSTR_LBL_SERVER_UPTIME","Server Up Time:","Server Up Time:","Doba běhu serveru:","Serverlaufzeit:","Время работы сервера:","Czas działania serwera:","Szerver futási ideje:","Uptime server:","Tiempo activo del servidor:","Temps de fonctionnement :","伺服器執行時間:","サーバー稼働時間:","Uptime do servidor:","服务器运行时间:",
"VSTR_LBL_MEM_USED","Memory Used:","Memory Used:","Využitá paměť:","Genutzter Speicher:","Использовано памяти:","Wykorzystana pamięć:","Felhasznált memória:","Memoria usata:","Memoria usada:","Mémoire utilisée:","已用記憶體:","使用メモリ:","Memória usada:","已用内存:",
"VSTR_LBL_NETWORK_TRAFFIC","Network out Kbps:","Network out Kbps:","Síť odchozí Kbps:","Netzwerk aus Kbps:","Исходящий трафик, Kbps:","Sieć wychodząca Kbps:","Kimenő hálózat Kbps:","Rete in uscita Kbps:","Red saliente Kbps:","Réseau sortant Kbps:","輸出網路 Kbps:","送信ネットワーク Kbps:","Rede de saída Kbps:","出站网络 Kbps:",
"VSTR_LBL_NETWORK_TRAFFIC2","Network In Kbps:","Network In Kbps:","Síť příchozí Kbps:","Netzwerk ein Kbps:","Входящий трафик, Kbps:","Sieć przychodząca Kbps:","Bejövő hálózat Kbps:","Rete in entrata Kbps:","Red entrante Kbps:","Réseau entrant Kbps:","輸入網路 Kbps:","受信ネットワーク Kbps:","Rede de entrada Kbps:","入站网络 Kbps:",
"VSTR_LBL_ACTIVE_AI","Active AIs:","Active AIs:","Aktivní AI:","Aktive AIs:","Активных ИИ:","Aktywne AI:","Aktív MI-k:","AI attive:","IA activas:","IA actives:","啟用中的 AI:","アクティブな AI:","IAs ativas:","启用的 AI:",
"VSTR_LBL_REFRESH_ACTIVITY","Refresh Activity","Refresh Activity","Obnovit aktivitu","Aktivität aktualisieren","Обновить активность","Odśwież aktywność","Aktivitás frissítése","Aggiorna attività","Actualizar actividad","Actualiser l'activité","重新整理活動","アクティビティを更新","Atualizar atividade","刷新活动",
"VSTR_LBL_AUTO_UPDATE_ACTIVITY","Auto Update Activity","Auto Update Activity","Automaticky aktualizovat aktivitu","Aktivität automatisch aktualisieren","Автообновление активности","Auto‑aktualizacja aktywności","Aktivitás automatikus frissítése","Aggiorna attività automaticamente","Actualizar actividad automáticamente","Automatique","自動更新活動","アクティビティを自動更新","Atualizar atividade automaticamente","自动更新活动",
"VSTR_LBL_RESTART_SERVER","Restart Server","Restart Server","Restartovat server","Server neu starten","Перезапустить сервер","Zrestartuj serwer","Szerver újraindítása","Riavvia server","Reiniciar servidor","Redémarrer !","重新啟動伺服器","サーバーを再起動","Reiniciar servidor","重启服务器",
"VSTR_LBL_LOCKSERVER","Lock Server","Lock Server","Zamknout server","Server sperren","Заблокировать сервер","Zablokuj serwer","Szerver zárolása","Blocca server","Bloquear servidor","Verrouiller !","鎖定伺服器","サーバーをロック","Bloquear servidor","锁定服务器",
"VSTR_LBL_KILL_ALL_PLAYERS","Kick All Players","Kick All Players","Vyhodit všechny hráče","Alle Spieler kicken","Кикнуть всех игроков","Wyrzuć wszystkich graczy","Minden játékos kirúgása","Espelli tutti i giocatori","Expulsar a todos los jugadores","Kick tous joueurs","踢出所有玩家","全プレイヤーをキック","Expulsar todos os jogadores","踢出所有玩家",
"VSTR_LBL_RETURN_PLAYERS","RETURN","RETURN","ZPĚT","ZURÜCK","НАЗАД","POWRÓT","VISSZA","RITORNA","VOLVER","RETOUR","返回位置","戻る","VOLTAR","返回位置",
"VSTR_TELEPORT_MANAGER_TITLE","TELEPORT MANAGER","TELEPORT MANAGER","SPRÁVCE TELEPORTŮ","TELEPORT-MANAGER","МЕНЕДЖЕР ТЕЛЕПОРТА","MENEDŻER TELEPORTÓW","TELEPORT KEZELŐ","GESTORE TELETRASPORTI","GESTOR DE TELETRANSPORTES","GESTIONNAIRE DE TÉLÉPORTATION","傳送管理器","テレポートマネージャー","GERENCIADOR DE TELEPORTE","传送管理器",
"VSTR_LBL_SAVED_POSITIONS","Saved Positions","Saved Positions","Uložené pozice","Gespeicherte Positionen","Сохранённые позиции","Zapisane pozycje","Mentett pozíciók","Posizioni salvate","Posiciones guardadas","Positions enregistrées","已儲存的位置","保存済み位置","Posições salvas","已保存的位置",
"VSTR_LBL_ADD_NEW_POS","Add New Position","Add New Position","Přidat novou pozici","Neue Position hinzufügen","Добавить новую позицию","Dodaj nową pozycję","Új pozíció hozzáadása","Aggiungi nuova posizione","Añadir nueva posición","Ajouter une nouvelle position","新增位置","新しい位置を追加","Adicionar nova posição","新增位置",
"VSTR_LBL_EDIT_SEL_POS","Edit Selected Position","Edit Selected Position","Upravit vybranou pozici","Ausgewählte Position bearbeiten","Редактировать выбранную позицию","Edytuj wybraną pozycję","Kiválasztott pozíció szerkesztése","Modifica posizione selezionata","Editar posición seleccionada","Modifier la position sélectionnée","編輯所選位置","選択した位置を編集","Editar posição selecionada","编辑所选位置",
"VSTR_LBL_DEL_SEL_POS","Delete Selected Position(s)","Delete Selected Position(s)","Smazat vybranou/é pozici/e","Ausgewählte Position(en) löschen","Удалить выбранную(ые) позицию(и)","Usuń wybraną(e) pozycję(e)","Kiválasztott pozíció(k) törlése","Elimina posizione/i selezionata/e","Eliminar posición(es) seleccionada(s)","Supprimer la/les position(s) sélectionnée(s)","刪除所選位置","選択した位置を削除","Excluir posição(ões) selecionada(s)","删除所选位置",
